7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20251125-2
aom 3.13.1-1
appstream 1.1.1-1
aquamarine 0.10.0-2
arch-simplicity-grub-theme-git r9.cf15626-1
archlinux-keyring 20251116-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attica 6.20.0-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.3.8-1
bat 0.26.1-1
bcc 0.35.0-6
bibata-cursor-theme 2.0.7-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
boost-libs 1.89.0-3
breeze 6.5.4-1
breeze-icons 6.20.0-1
brightnessctl 0.5.1-3
brltty 6.8-5
brotli 1.1.0-3
btop 1.4.5-1
btrfs-assistant 2.2-4
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cava 0.10.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
clang 21.1.6-1
cliphist 1:0.7.0-1
cmark-gfm 0.29.0.gfm.13-1
code 1.106.3-1
compiler-rt 21.1.6-1
conky 1.22.2-1
containerd 2.2.0-1
coreutils 9.9-1
cpio 2.15-3
cryptsetup 2.8.1-1
curl 8.17.0-2
cython 3.2.2-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
ddcutil 2.2.3-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
dgop 0.1.11-1
diffutils 3.12-2
dms-shell 0.6.2-1
dms-shell-bin-debug 0.6.2-1
dms-shell-hyprland 0.6.2-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.1.1-1
docker-compose 2.40.3-1
dotconf 1.4.1-1
dotnet-host 10.0.0.sdk100-1
dotnet-runtime 10.0.0.sdk100-1
dotnet-runtime-9.0 9.0.11.sdk112-1
dotnet-sdk-9.0 9.0.11.sdk112-1
dotnet-targeting-pack-9.0 9.0.11.sdk112-1
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-2
easy-zsh-config 0.7.4-1
ed 1.22.3-1
efibootmgr 18-3
efivar 39-1
electron37 37.5.1-1
electron39-bin 39.2.6-1
ell 0.81-1
espeak-ng 1.52.0-1
espeakup 0.90-4
expat 2.7.3-1
eza 0.23.4-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.56.0-1
fcft 3.3.2-1
festival 2.5.0-5
ffmpeg 2:8.0.1-1
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 146.0-1
flac 1.5.0-1
flex 2.6.4-5
fmt 12.1.0-1
fontconfig 2:2.17.1-1
foot 1.25.0-1
frameworkintegration 6.20.0-1
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fuzzel 1.13.1-1
fzf 0.67.0-1
gauntlet-bin 21-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
